ts,temp,humidity,soil,ph
2026-01-29T12:00:20.803639+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:00:26.461968+00:00,23.0,75.1,100.0,7.0
2026-01-29T12:00:32.155745+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:00:37.824761+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:00:43.435468+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:00:49.159966+00:00,23.0,75.1,100.0,7.0
2026-01-29T12:00:54.837968+00:00,23.0,75.1,100.0,7.0
2026-01-29T12:01:00.494846+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:01:06.214488+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:01:11.845726+00:00,23.0,75.1,100.0,7.0
2026-01-29T12:01:17.578028+00:00,23.0,75.1,100.0,7.0
2026-01-29T12:01:23.265941+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:01:29.052160+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:01:34.698686+00:00,23.0,75.0,100.0,7.0
2026-01-29T12:01:40.376868+00:00,23.0,75.1,100.0,7.0
2026-01-29T12:01:46.110366+00:00,23.0,75.2,100.0,7.0
2026-01-29T12:01:51.817221+00:00,23.0,75.2,100.0,7.0
2026-01-29T12:01:57.469423+00:00,23.0,75.2,100.0,7.0
2026-01-29T12:02:03.115807+00:00,23.0,75.3,100.0,7.0
2026-01-29T12:02:08.807897+00:00,23.0,75.3,100.0,7.0
2026-01-29T12:02:14.428253+00:00,23.0,75.3,100.0,7.0
2026-01-29T12:02:20.112439+00:00,23.0,75.3,100.0,7.0
2026-01-29T12:02:25.742201+00:00,23.0,75.6,100.0,7.0
2026-01-29T12:02:31.392891+00:00,23.0,75.5,100.0,7.0
2026-01-29T12:02:37.168595+00:00,23.0,75.5,100.0,7.0
2026-01-29T12:02:42.911328+00:00,23.0,75.6,100.0,7.0
2026-01-29T12:02:48.581282+00:00,23.0,75.8,100.0,7.0
2026-01-29T12:02:54.261414+00:00,23.0,75.6,100.0,7.0
2026-01-29T12:02:59.829868+00:00,23.0,75.7,100.0,7.0
2026-01-29T12:03:05.566806+00:00,23.0,76.0,100.0,7.0
2026-01-29T12:03:11.209545+00:00,23.0,76.1,100.0,7.0
2026-01-29T12:03:16.938174+00:00,23.0,76.1,100.0,7.0
2026-01-29T12:03:22.616256+00:00,23.0,76.0,100.0,7.0
2026-01-29T12:03:28.214849+00:00,23.0,76.3,100.0,7.0
2026-01-29T12:03:33.951134+00:00,23.0,76.2,100.0,7.0
2026-01-29T12:03:39.688902+00:00,23.0,76.2,100.0,7.0
2026-01-29T12:03:45.382279+00:00,23.0,76.4,100.0,7.0
2026-01-29T12:03:51.084771+00:00,23.0,76.4,100.0,7.0
2026-01-29T12:03:56.720897+00:00,23.0,76.5,100.0,7.0
2026-01-29T12:04:02.291647+00:00,23.0,76.5,100.0,7.0
2026-01-29T12:04:07.948810+00:00,23.0,76.6,100.0,7.0
2026-01-29T12:04:13.643321+00:00,23.0,76.6,100.0,7.0
2026-01-29T12:04:19.313108+00:00,23.0,76.7,100.0,7.0
2026-01-29T12:04:24.944957+00:00,23.1,76.8,100.0,7.0
